PDF#76-1746: QM=Calculated; d=Calculated; I=(Unknown)
Gypsum
CaSO4(H2O)2	
Radiation=CuKa1	Lambda=1.5406	Filter=
Calibration=	2T=10.348-71.948	I/Ic(RIR)=5.05
Ref: Level-1 PDF

Monoclinic,  C2/m(12)	Z=4	mp=
CELL: 10.47 x 15.15 x 6.28 <90.0 x 98.97 x 90.0>	P.S=
Density(c)=1.162	Density(m)=	Mwt=	Vol=984.0	
Ref: Ibid.

Strong Lines: 7.57/X  3.10/2  5.17/1  2.87/1  2.86/1  4.27/1  6.20/1

2-Theta    d(?)   I(f)  ( h k l)    Theta  1/(2d)   2pi/d  n^2  
 62.933  1.4756    0.3  ( 4 2 3)   31.466  0.3388  4.2579     
 63.119  1.4717    0.3  ( 0 10 1)  31.559  0.3397  4.2692     
 63.805  1.4576    0.1  ( 3 5 3)   31.902  0.3430  4.3108     
 64.044  1.4527    0.1  ( 2 10 0)  32.022  0.3442  4.3252     
 64.200  1.4495    0.2  ( 1 9 2)   32.100  0.3449  4.3346     
 64.328  1.4470    0.1  ( 3 9 1)   32.164  0.3456  4.3423     
 64.570  1.4421    0.3  (-3 3 4)   32.285  0.3467  4.3569     
 64.794  1.4377    0.3  ( 1 3 4)   32.397  0.3478  4.3704     
 64.921  1.4352    0.3  ( 0 4 4)   32.461  0.3484  4.3780     
 65.080  1.4320    0.4  (-4 0 4)   32.540  0.3492  4.3876     
 65.277  1.4282    0.2  (-2 10 1)  32.638  0.3501  4.3994     
 65.414  1.4255    0.4  ( 2 0 4)   32.707  0.3507  4.4076     
 65.515  1.4236    0.6  ( 6 6 0)   32.757  0.3512  4.4136     
 65.648  1.4210    0.4  ( 5 5 2)   32.824  0.3519  4.4216     
 65.920  1.4158    0.4  (-7 1 2)   32.960  0.3532  4.4378     
 66.196  1.4106    0.5  (-5 7 2)   33.098  0.3545  4.4543     
 66.380  1.4071    0.4  (-4 2 4)   33.190  0.3553  4.4653     
 66.711  1.4009    0.3  ( 2 10 1)  33.355  0.3569  4.4850     
 66.882  1.3978    0.6  (-3 9 2)   33.441  0.3577  4.4952     
 67.089  1.3940    0.3  (-1 5 4)   33.544  0.3587  4.5074     
 67.211  1.3917    0.4  ( 6 2 2)   33.606  0.3593  4.5147     
 67.555  1.3855    0.1  (-2 8 3)   33.778  0.3609  4.5351     
 68.456  1.3694    0.1  (-7 3 2)   34.228  0.3651  4.5882     
 68.696  1.3652    0.2  ( 1 11 0)  34.348  0.3662  4.6023     
 68.880  1.3620    0.3  (-6 6 2)   34.440  0.3671  4.6131     
 69.305  1.3547    0.1  ( 5 1 3)   34.653  0.3691  4.6381     
 69.715  1.3477    0.2  (-3 5 4)   34.858  0.3710  4.6621     
 69.930  1.3441    0.2  (-6 4 3)   34.965  0.3720  4.6746     
 70.159  1.3403    0.1  (-5 1 4)   35.080  0.3731  4.6880     
 70.328  1.3375    0.1  (-7 5 1)   35.164  0.3738  4.6978     
 70.529  1.3342    0.1  ( 2 4 4)   35.265  0.3748  4.7095     
 71.131  1.3243    0.7  ( 3 9 2)   35.565  0.3775  4.7444     
 71.310  1.3215    0.5  ( 0 6 4)   35.655  0.3784  4.7547     
 71.785  1.3139    0.1  ( 2 8 3)   35.893  0.3806  4.7822     
 71.948  1.3113    0.2  (-1 9 3)   35.974  0.3813  4.7916     
